lesson,content
1,a da as sad dal jak lak sak lad jas kal a da as sad dal jak lak sak lad jas kal a da as sad dal jak lak sak lad jas
2,sada klas kasa lasa skla klak dala kala saka slad sada klas kasa lasa skla klak dala kala saka slad sada klas kasa lasa
3,salda sklad kajak kladka dlask sajka sakal lajka jasla skalka salda sklad kajak kladka dlask sajka sakal lajka jasla
4,skalka kladla dlask jak sad klas sada salda kajak kladka sajka lajka as da lak sak jasla sakal slad sklad lasa saka kala
5,sada dal skla klas kasa salda sklad kajak klak da saka lasa sad skla klas kasa salda sklad jak klak dala sak lasa skalka
6,jak dal sad lak sak lad jas sada klas kasa skla salda sklad kajak kladka kladla sajka dlask jasla sakal skalka lajka slad
7,kladka skalka kladla sajka dlask jasla sakal lajka kajak salda sklad kladka skalka kladla sajka dlask jasla sakal lajka
8,lak jak jas sada salda kajak skalka kladla klak da as sad klas kasa kladka sajka dlask jasla sklad saka lasa slad
9,sajka sakal lajka skalka kladka kladla jasla dlask sklad salda kajak klas skla kasa sada klak dala kala lasa saka slad lad
10,salda kajak kladka sklad kasa lad lasa a sak kladla sajka slad dlask skla as dal sad dala kladla skla klas jak kasa salda sklad
11,a da as jak dal sad lak sak lad jas sada klas kasa dala skla salda sklad kajak kladka skalka kladla sajka dlask jasla sakal
12,jak sad dal lak sak lad kal jas as da jak sad dal lak sak lad kal jas jak sad dal lak sak lad kal jas jak sad dal lak sak lad
13,sada klas kasa skla klak saka lasa slad sada klas kasa skla klak saka lasa slad sada klas kasa skla klak saka lasa slad
14,skalka kladka kladla sajka kajak salda sklad dlask jasla sakal lajka skalka kladka kladla sajka kajak salda sklad dlask
15,kajak lak saka lasa kal kladka dala kladla skla klas jak kasa salda a sklad kajak lak sad sak lasa kladka kala klas
16,do od se ale jed led les sol kos oko eso kel dej dok do od se ale jed led les sol kos oko eso kel dej dok do od se ale jed
17,deka osel olej kolo kola lesa soda seje leje dole jela keks deka osel olej kolo kola lesa soda seje leje dole jela keks
18,deska jedla jedlo jedle sekal lokaj sedlo kolej jesle selka klesl odjel kodak kokos saldo dojde dodej desek oseje
19,klesla dosedla doleje osedlal dojela doskok koleje lesklo odjede odlesk sekala dosedala osedlala klesala sokolka
20,soda dlask okolo salda kola lokaj dok slad jedle sekala doleje keks seje klesla ledek sedlo jesle selka dodej eso dosedala
21,sad jak klas sklad ale do od les jed led kolo osel olej deska jedla sekal kolej deka soda leje dole seje saldo
22,osel jel do lesa a dal olej lokaj sekal deska odjel od kola keks jedla doleje dojde seje deka kolo soda kolej jesle selka
23,dosedla klesla odjede osedlal dojela sekala doleje koleje lesklo odlesk doskok sokolka saldo desek kokos kodak dodej oseje
24,ale jed do lesa osel jela deska kolej jedla kolo odjel sedlo dojde klesla osedlal doleje sekal lokaj sekala dosedla dojela
25,osedlala sjede esa ale deska kel kde jelo se deka osel olej jed ale deska odjel leje klesl kde jel deka osel olej
26,kolo olej soda deska jedlo sekal osel kolej klesla dosedla ale les jed led oko dole leje deka seje kokos saldo lokaj
27,dojela odjede doleje klesala osedlala dosedala sokolka sekala koleje odlesk lesklo doskok dojde odjel dodej desek jedla oseje
28,do lesa dal olej osel jela deska sekal kolej lokaj sedlo jesle selka odjel soda kolo dole keks kola leje seje deka jed led
29,osedlal sekala dosedla dojela doleje koleje odjede klesla lesklo odlesk saldo sokolka kodak kokos doskok klesala dosedala
30,dojde klesla sekal jedlo dosedla lesklo koleje deska dole kos doleje osedlal deka klesla osel dej sedla jedle dojedla
31,Lada Ela Eda Lea Sokol Olda Klos Jokl Lada Ela Eda Lea Sokol Olda Klos Jokl Lada Ela Eda Lea Sokol Olda Klos Jokl
32,Lada jela do lesa Sokol odjel od koleje Ela sekal deska Olda a Jokl dal olej Klos sedla Eda dojela Lea osel Lada kolo
33,OKD Lajka Eska Kodak OAJ KS Sojka Sakal Jaslo OKD Lajka Eska Kodak OAJ KS Sojka Sakal Jaslo OKD Lajka Eska Kodak OAJ
34,Lajka a Sojka jela do Jasla Eska OKD dal Kodak Sokol odjede od Olda KS Jokl sekal deska Lada OAJ kolo Ela Sakal kolej
35,Kladka jedla osa sad saldo sekal kolej OAJ Lokaj Eska doskok Lada Lajka doleje jesle Kodak jas Jokl odlesk dojela OKD
36,Sokol a Lada jela do lesa Jokl odjel od koleje Olda sekal Ela deska Klos dal olej Eda osel Lea soda Sojka kolo Eska deka
37,Lajka Eska Kodak OAJ OKD KS Jaslo Sakal Sojka Lada Sokol Ela Eda Lea Olda Klos Jokl Lajka Eska Kodak OAJ OKD KS Jaslo
38,Eda odjede do Jasla Lada a Sokol jela Klos dal Kodak Jokl sekal Olda klesla Lea doleje Sojka OKD Eska kolej Ela osel OAJ
39,Sokol Lada Eska OKD Jaslo Klos Jokl Olda Lea Eda Lajka Sojka Sakal KS OAJ Kodak a do od se ale kolo osel deska kolej olej
40,Kajak Sokol Lajka Jokl Lada Eska Kos OKD Ela Sojka klesala do lesa a Sakal dodal do koleje olej
41,Lada odjede do Jasla a Sokol jela od koleje Jokl dal Eska olej Olda sekal Lea deska Eda klesla Sojka dosedla Klos osel
42,Eska OKD Kodak doleje Lajka Sakal dojela KS odjede Jaslo OAJ sekala Sokol Lada Ela Jokl Olda Klos Eda Lea kolej Sojka deska
43,Olda odjel od Sokol a Lada jela do lesa Jokl sekal Klos Eska dojela Lea klesla Eda dosedla Sojka doleje OKD Jaslo kolej
44,Lajka Kodak OAJ KS Sakal Jaslo OKD Eska Sojka Sokol Lada Ela Eda Lea Olda Klos Jokl kolo deska osel odjede koleje doleje
45,Saldo dodej eso desek Lajka oseje KS jedle koleda Jesle deska Olda kola dojde Klos soja od kolo Jaslo kokos
46,Lada jela do lesa. Sokol dal olej. Ela sekal deska. Olda odjel od koleje. Jokl a Klos kolo. Eda jela. Lea osel.
47,Lada a Sokol jela do lesa. Eska odjede od koleje. Jokl dal Kodak Olda. Sojka klesla. Eda sekal deska a Lea doleje olej.
48,Sokol odjede do Jasla a Lada jela od koleje. Klos sekal deska. Olda a Jokl dal olej. Eska klesla a dosedla. Eda osel dojela.
49,Lajka dojela do lesa a Sakal odjede. Lea sekala deska. Sojka a Sokol jela od koleje. Olda dal kolo Eda. Lada dosedla a klesla.
50,Sklad dodal do lesa kolo Eska. Sokolka Lea leje okolo kola olej. Eda Sokol ale odjede do Jasla. Dosedlala osla a jela do lesa.
51,Lada jela do lesa. Sokol odjel od koleje. Ela dal olej. Jokl sekal deska. Klos a Olda jela. Eda osel kolo. Lea klesla.
52,Eska doleje olej do koleje. Sojka jela do lesa a Olda sekal. Lada odjede. Jokl klesla a dosedla. Sokol dale dal kolo Lea.
53,Sokol a Lada odjede do Jasla. Klos sekal deska. Jokl dal olej Olda. Sojka jela od koleje. Lea klesla. Eda dojela. Eska osel.
54,Sklad dodal kolesa a olej. Lada jela do lesa. Sokol odjede od koleje. Ela sekal deska. Olda dosedla. Jokl a Klos dale kolo.
55,Jos. Lada. Doleje jed. Kokos. Dojalo se. Sloka. Sojka dojedl. Doklad. Jedla. Sejde. SOS. Osedlala.
56,Olda odjel do lesa. Sokol a Lada sekal deska. Ela dal kolo Jokl. Eska doleje. Klos jela od koleje. Eda dojela a dosedla.
57,Lada a Sojka jela do Jasla. Sokol odjede od koleje. Jokl sekal deska. Olda klesla. Klos dal olej Eska. Lea dosedla. Eda osel.
58,Sklad dodal olej a kolo. Lada jela do lesa. Ela odjede. Sokol sekal. Jokl a Olda doleje. Eska klesla. Eda dosedla. Lea dale.
59,Sokol odjel do Jasla. Sojka a Lada jela od koleje. Klos sekal deska. Olda dal olej. Jokl klesla a dosedla. Eska dale kolo Lea.
60,Dolej jed. Kokos. Sloka. Sojka. Doklad. Jedle. Sejde. SOS. Osedlal. Dojedl. Sokol. Klekl. Odlesk. Jaslo. Odjelo.
61,Lada jela do lesa a Sokol odjede od koleje. Jokl sekal deska. Olda dal olej. Ela a Klos dale kolo. Eska dosedla. Eda klesla.
62,Sojka a Lea jela do Jasla. Lada odjede od koleje. Sokol sekal. Olda doleje olej. Jokl klesla a dosedla. Klos dale kolo Eska.
63,Eska dale odjede. Lada a Sokol jela do lesa. Jokl sekal deska. Klos klesla. Olda a Eda dal olej. Lea dosedla. Sojka dojela.
64,Sklad dodal deska a kolesa. Sokol odjede do Jasla. Lada jela od koleje. Olda sekal. Jokl dale kolo. Eska doleje olej a dosedla.
65,Jos. Lada. Kolos ale odjel. Selka jedla keks. Sokol odjede ... Sklad dodal do koleje olej a koleso.
66,Jan na les. Dana a den. Lenka nad koleje. Jelen a lanek. Seno do lesa. Neon. Jan a Dana na kole. Jeden den. Nad les.
67,Jana odjela na kole. Lenka nedala seno. Dana nenajde jelena. Jan dnes odjel. Jeden den je na koleno. Sokol nad les.
68,Jana dnes odjela na kole do lesa. Dana nedala seno a Lenka nejedla. Jan je nad koleje. Jelen se nenajde. Neon leskne nad lesa.
69,Lenka a Dana odjela na kole. Jana nedala seno do lesa. Jan dnes nejedl. Sojka nad les klesne. Jelen se nenajde. Jeden den na seno.
70,Jana odjela na kole do Kladna. A Dana dnes jelena nenajde. Lososa Lenka nejedla. Na jeden den seno do lesa nedala.
71,Dana odjela na kole a Jana nedala seno do lesa. Lenka nejedla. Jan dnes nenajde jelena. Sokol klesne nad les. Jeden den a neon.
72,Jana a Lenka odjela na kole do lesa. Dana nedala seno. Jan dnes nejedl. Jelen se nad koleje nenajde. Sokol klesne. Kladna leskne.
73,Lenka dnes odjela na kole. Jana nedala seno do lesa a Dana nejedla. Jan nenajde jelena nad les. Jeden den je na koleno. Sokol.
74,Dana dnes jela na kole do Kladna. Jana nedala seno a Lenka nenajde jelena. Jan nejedl. Sokol klesne nad les. Jeden den na koleno.
75,Sklad dodnes lana a kolena nedodal. Sokol se ale snesl nad les. Ona se nedala. Jana se lekla jelena.
76,Jana a Dana dnes odjela na kole. Lenka seno do lesa nedala. Jan nenajde jelena nad les. Sokol klesne. Jeden den na kole do Kladna.
77,Lenka dnes nedala seno a Jana odjela na kole do lesa. Dana nejedla. Jan jelena nenajde. Sokol se snesl nad les a klesne. Kladna.
78,Dana se lekla jelena nad lesa. Jana dnes odjela na kole do Kladna. Lenka nedala seno. Jan nejedl a Sokol klesne nad koleje.
79,Jana nedala seno do lesa a Dana dnes odjela na kole. Lenka nejedla. Jan se lekl jelena. Sokol nad les klesne. Jeden den do Kladna.
80,Kladka dnes ale jde jen nedokonale. Sosna a jedle. Snad kajak neklesne. Alenka dnes neosedlala osla Neklana.
81,To ta ten tak sto tol test stol kot. Tak a tak. Ten stol. Sto a jeden. Let. Tok. Teta Stela to dodala. Tonda stonal.
82,Standa a Tonda dnes stonala. Teta Lenka to nedodala. Tak to ten den dodejte. Test stojka a sto let. Dejte to do kostela.
83,Tonda to nedodal a teta Lenka dnes stonala. Standa dodal stojka do kostela. Tak to jen ten den. Sokol se ale nestalo.
84,Teta Lenka stonala a Tonda to nedodal. Standa dejte to do kostela. Tak se to ale nestalo. Ten test je na stojka. Sokol dnes.
85,Standa Lotos to nedodal. Teta Lenka stonala. Dejte to do kostela. Tonda Sokol dnes ale o sedle nejednal. Tak se to ale nestalo.
86,Tonda a Standa to dnes nedodal. Teta Lenka stonala. Tak to ale nejde. Dejte to do kostela. Sokol nejednal o test. Let jet.
87,Standa Kostka dnes stonal a teta Lenka to nedodala. Tak to ale ten den nejde. Tonda dodal stojka do kostela. Sokol je na test.
88,Teta Lenka to dnes nedodala a Tonda stonal. Standa to tak ale nejednal. Dejte ten test do kostela. Sokol dnes jet nestalo.
89,Tak to ale nejde. Standa a Tonda dnes stonal. Teta Lenka nedodala stojka. Dejte to do kostela. Sokol ten den nejednal. Sto let.
90,Tak nejednejte. Standa Kostka stonal. Takto jednejte. Dodej atol. Dodejte do Kladna jeden sedan. Stela se jelena nelekala.
91,Tonda dnes to nedodal a Standa stonal. Teta Lenka ale dejte to do kostela. Tak se to nestalo. Sokol ten den o sedle nejednal.
92,Standa a Tonda to dnes nedodal. Tak to ten den ale nejde. Teta Lenka stonala. Dejte stojka do kostela. Sokol nejednal o test.
93,Tak to ale dnes nejde a Tonda stonal. Standa to nedodal. Teta Lenka dejte to do kostela. Sokol ten den nejednal. Sto jet nestalo.
94,Teta Lenka dnes stonala a Tonda to nedodal. Standa ale nejednal. Tak dejte ten test do kostela. Sokol se nestalo. Sto let jet.
95,To je ale na konto Neklana. Led netaje. Snad neklesnete. To je stojka na test. Do lesa jste dnes ale nedal dostatek jetele a sena.
96,Ani lid ani lis. Loni do kina. Jitka a Diana to dali. Ani dnes. Lid a jistota. Kino loni. Lis. Jitka ani Diana to nedodali.
97,Jitka a Diana loni odjeli do kina. Ten statistik to ani dnes nedodal. Ani lid ani lis. Diletant to dali do Kladna. Jistota.
98,Jitka ani Diana dnes do kina neodjeli. Ten statistik loni data nedodal. Ani do ledna to Tonda nedodal. Lid a lis. Jistota.
99,Diana a Jitka loni odjeli do kina. Ani ten statistik to dnes nedodal. Teta Lenka stonala. Lid ani lis. Diletant. Do ledna jistota.
100,Ten statistik loni nedojednal ani data. A ani do ledna to Jitka nedodala. Teta Diana dnes stonala. Odjeli do kina.
101,Nikita dnes odjel do kina. Ida nejedla ani sele. Ilona a Daniel se lekli jelena. Jitka to ale odnesla. Olinka stonala.
102,Lidi odjeli na les. Diletanti to nedali. Statistik nejednal. Kotlina je daleko. Solidnost je to. Diana dostala letadlo od Tonda.
103,Setnina dnes nejedla. Okolo lesa je klid. Jinotaje. Diletanti. Nikita. Solidnost. Kotlina.
104,Ida a Ilona odjeli do lesa. Daniel to ale dnes nedodal. Jitka a Olinka sedle jeli na koni. Ten lid je na stole. Nikita stonal.
105,Denisa nesla lilek do kina. Tonda Sokol to ale nedojednal. Ilona dostala od Nikita slona. Diana ani nedojela. Statistik to odnesl.
106,Tonda Klika do Kladna nejede. Dodal ten lis. Ida dostala letadlo. Ti lidi odjeli do kina. Klisna Linda se lekla selete.
107,Daniel a Jitka odjeli do Kladna. Ilona je dnes na kole. Nikita nedojednal ani seno. Ten diletant to nedal. Ida ale stonala.
108,Denisa dnes dostala od Daniela slona. Klisna loni nestonala. Solidnost je ale jistota. Tonda si sedl do sedla. Odjeli na les.
109,Nestalo se. Ilona dnes sklidila lilek. Klisna loni nestonala. Teta Olina se naklonila do okna. Ani Daniel a Jenda se nesnesli.
110,Olinka dnes neodnesla to seno. Daniel a Nikita odjeli do Kladna na kole. Jitka si sedla ke stole. Denisa jedla jelen.
111,Diana dostala od Tonda letadlo. Statistik nedojednal ani data do ledna. Ilona a Ida odjeli na les. Ten diletant to ale nedal.
112,Tonda a Denisa dnes ale do Kladna neodjeli. Alena dnes ani nejedla. Olinka skolila jelena. Ida asi dostala od Daniela slona.
113,Nikita a Jitka to ale dnes do ledna nedodali. Ten lid se lekl jelena na lese. Statistik to dojednal. Ilona nesla sele do stodole.
114,Daniel a Denisa dnes odjeli do kina. Ida to ale nedostala. Olinka ani Tonda to do ledna nedali. Solidnost je to. Jitka stonala.
115,Dnes neodjeli Ivana ani David na venkov. Ta statistika na leden je na stole. Vojta a Ivanka odjeli do Vojtanova.
116,Ivan vedl kolo na ven. Ivana a David odjeli na venkov. Vojta dnes nevedl ani kolo. Vanda dostala od Ivana divan. Vlasta stonala.
117,Vendelin odjel do lesa. David a Ivanka to ale nedodali. Vojta vedl kolo na venkov. Ivana je na divane. Vlasta to ale nevedla.
118,Na ni to ale nesvalovali. Jikov jako dodavatel ale dodnes nedodal ani ventilek. Ta statistika loni nedojednala ani data.
119,Ivana a Vlasta odjeli na venkov. David to dnes nevedl. Vanda ale dodala ventilek do Kladna. Vojta sledoval divokost sov v lese.
120,Ivan a Ivanka se dnes naklonili nad divan. David to ale nedovedl. Vojta vedl Vlasta na venkov. Vendelin odjel do Vojtanova.
