lesson,content
551,"Na školení o nových předpisech se sešlo mnoho lidí. Hlavní vedoucí oddělení podepsal novou smlouvu o spolupráci s brněnskou stavební školou. Přešetřujeme-li všechny okolnosti, zjistíme celou pravdu. Bylo to dobré rozhodnutí."
552,"Ze snímku na nástěnce nebylo téměř nic k rozeznání. Připravil přepracovaný návrh rozsáhlých zemědělsko-lesnických opatření. Prošetřovali především, měl-li někdo ve středu a v pátek po šesté hodině přístup na pracoviště."
553,"Ve škole bylo mnoho šikovných studentek, které se připravovaly na přijímací řízení. Na konci šesté hodiny odešla ke svému domu, kde ji Míša netrpělivě vítala. Nové plošné spoje se doposud nepovedlo zcela vyřešit."
554,Naštěstí i těch ztracených šedesát korun opět našel - sám je nechal v šatně v kapse nového pláště do deště. Dokonce mu i nabízeli roli Vaška v Prodané nevěstě. Záměrně se vyhýbá hovoru o dodavatelsko-odběratelských vztazích.
555,"Šimon přinesl ze školy nový rozvrh hodin, kde se změnil rozpis některých přednášek. Poštou přišly dva dopisy od vedoucího obchodního oddělení. Míša se naštěstí vrátila brzy, připravila oběd a uklidila celý pokoj."
556,"Zlepšil-li se náš Saša trošku ve škole, neznamená to ovšem ještě, že z něho s největší pravděpodobností vyroste typ vědce. Jenom musíme neustále dávat pozor, abychom nezašli příliš daleko a neodradili tím další návštěvníky."
557,"Na stavbě nové školní budovy pracovalo hodně šikovných lidí. V šatně se hromadily staré věci, které nikdo nechtěl odnést. Maruška se na výletě velmi dobře bavila, přišla spokojená. Letošní sklizně byly dobré."
558,Staršina Pospíšil z vyšetřovacího oddílu prošetřoval koncem března minulého roku pokusy o propašování větších zásilek hašiše do naší republiky. Dnešní jednací protokol rozešleme všem přítomným poštou.
559,"Obchod v našem městě nabízel nové košile a jiné oděvní výrobky. Na příštím zasedání se bude projednávat rozšíření městské dopravy. Vyšetřovali celou věc, naštěstí se vše podařilo vysvětlit. Šimon odešel do školy."
560,"Naštěstí měli ve zvyku šetřit příliš rezolutními výrazy. Vyšetřovatel trvá na co nejrychlejším zajištění dalších šesti podezřelých osob. Měli by si takové pošetilé návrhy ušetřit, chtějí-li někam dospět."
561,"Všichni šli na poradu, kde se rozhodovalo o dalším postupu prací na stavbě. Nový vedoucí přistoupil k řešení celé věci velmi obezřetně. Míša si přinesla ze školy krásné hodnocení, které potěšilo celou rodinu."
562,"Soustředíme-li se nyní zejména na řešení bytové výstavby, nesmíme zapomínat ani na sídlištní vybavenost. Zvětšovacím sklem bylo dobře vidět, jak se někdo pokoušel vybroušením zakrýt poškozené místo."
563,"V letošním roce se bude konat velká přestavba celé školní budovy, na které se podílí několik stavebních skupin. Vyšetřovatel pospíšil s protokolem a odešel. Naše vedoucí měla dnes hodně práce ve své kanceláři."
564,"Při výstavbě dálnice bylo třeba urychleně vyřešit další dva technické problémy. Pospíšil-li si, pravděpodobně se sešli někde u bazénu. Míša asi zrovna odešla do Bílé labutě koupit další tři sešity do školy."
565,"Všechny materiály pro šestou poradu byly odevzdány v termínu. Zjistí-li se, jaké pochybení vzniklo na naší straně, nahradíme všechny škody. Šimon se na koncertě skvěle bavil, přišel v dobré náladě. Bylo hezky."
